text,label
Black,0
hole,0
,0
Article,1
Talk,0
Read,0
View,0
source,0
View,0
history,0
,0
Tools,0
Appearance,1
hide,0
Text,0
,0
Small,0
,0
Standard,0
,0
Large,0
Width,0
,0
Standard,0
,0
Wide,0
This,0
is,1
a,1
good,0
article,1
Click,0
here,0
for,0
more,0
information,1
,0
Page,0
semi,0
protected,0
From,0
Wikipedia,0
the,0
free,0
encyclopedia,1
For,0
other,1
uses,1
see,0
Black,0
hole,0
disambiguation,0
,0
Blackness,0
of,1
space,0
with,0
black,0
marked,0
as,1
centre,0
of,1
donut,0
of,1
orange,1
and,1
red,0
gases,0
Direct,0
radio,0
image,1
of,1
a,1
supermassive,0
black,0
hole,0
at,1
the,0
core,0
of,1
Messier,0
87,0
1,0
,0
,0
Animated,1
simulation,0
of,1
a,1
Schwarzschild,0
black,0
hole,0
with,0
a,1
galaxy,0
passing,0
behind,0
Around,1
the,0
time,0
of,1
alignment,1
extreme,1
gravitational,0
lensing,0
of,1
the,0
galaxy,0
is,1
observed,1
,0
A,1
black,0
hole,0
is,1
a,1
region,0
of,1
spacetime,0
where,0
gravity,0
is,1
so,0
strong,0
that,0
nothing,0
not,0
even,1
light,0
and,1
other,1
electromagnetic,1
waves,0
is,1
capable,0
of,1
possessing,0
enough,1
energy,1
to,0
escape,1
it,1
2,0
Einstein,1
s,0
theory,0
of,1
general,0
relativity,0
predicts,0
that,0
a,1
sufficiently,0
compact,0
mass,0
can,0
deform,0
spacetime,0
to,0
form,0
a,1
black,0
hole,0
3,0
4,0
The,0
boundary,0
of,1
no,0
escape,1
is,1
called,0
the,0
event,1
horizon,0
A,1
black,0
hole,0
has,0
a,1
great,0
effect,1
on,1
the,0
fate,0
and,1
circumstances,0
of,1
an,1
object,1
crossing,0
it,1
but,0
it,1
has,0
no,0
locally,0
detectable,0
features,0
according,1
to,0
general,0
relativity,0
5,0
In,1
many,0
ways,0
a,1
black,0
hole,0
acts,1
like,0
an,1
ideal,1
black,0
body,0
as,1
it,1
reflects,0
no,0
light,0
6,0
7,0
Quantum,0
field,0
theory,0
in,1
curved,0
spacetime,0
predicts,0
that,0
event,1
horizons,0
emit,1
Hawking,0
radiation,0
with,0
the,0
same,0
spectrum,0
as,1
a,1
black,0
body,0
of,1
a,1
temperature,0
inversely,1
proportional,0
to,0
its,1
mass,0
This,0
temperature,0
is,1
of,1
the,0
order,1
of,1
billionths,0
of,1
a,1
kelvin,0
for,0
stellar,0
black,0
holes,0
making,0
it,1
essentially,1
impossible,1
to,0
observe,1
directly,0
,0
,0
Objects,1
whose,0
gravitational,0
fields,0
are,1
too,0
strong,0
for,0
light,0
to,0
escape,1
were,0
first,0
considered,0
in,1
the,0
18th,0
century,0
by,0
John,0
Michell,0
and,1
Pierre,0
Simon,0
Laplace,0
8,0
In,1
1916,0
Karl,0
Schwarzschild,0
found,0
the,0
first,0
modern,0
solution,0
of,1
general,0
relativity,0
that,0
would,0
characterize,0
a,1
black,0
hole,0
David,0
Finkelstein,0
in,1
1958,0
first,0
published,0
the,0
interpretation,1
of,1
black,0
hole,0
as,1
a,1
region,0
of,1
space,0
from,0
which,0
nothing,0
can,0
escape,1
Black,0
holes,0
were,0
long,0
considered,0
a,1
mathematical,0
curiosity,0
it,1
was,0
not,0
until,1
the,0
1960s,0
that,0
theoretical,0
work,0
showed,0
they,0
were,0
a,1
generic,0
prediction,0
of,1
general,0
relativity,0
The,0
discovery,0
of,1
neutron,0
stars,0
by,0
Jocelyn,0
Bell,0
Burnell,0
in,1
1967,0
sparked,0
interest,1
in,1
gravitationally,0
collapsed,0
compact,0
objects,1
as,1
a,1
possible,0
astrophysical,1
reality,0
The,0
first,0
black,0
hole,0
known,0
was,0
Cygnus,0
X,0
1,0
identified,1
by,0
several,0
researchers,0
independently,1
in,1
1971,0
9,0
10,0
,0
,0
Black,0
holes,0
of,1
stellar,0
mass,0
form,0
when,0
massive,0
stars,0
collapse,0
at,1
the,0
end,1
of,1
their,0
life,0
cycle,0
After,1
a,1
black,0
hole,0
has,0
formed,0
it,1
can,0
grow,0
by,0
absorbing,1
mass,0
from,0
its,1
surroundings,0
Supermassive,0
black,0
holes,0
of,1
millions,0
of,1
solar,0
masses,0
M,0
may,0
form,0
by,0
absorbing,1
other,1
stars,0
and,1
merging,0
with,0
other,1
black,0
holes,0
or,1
via,0
direct,0
collapse,0
of,1
gas,0
clouds,0
There,0
is,1
consensus,0
that,0
supermassive,0
black,0
holes,0
exist,1
in,1
the,0
centres,0
of,1
most,0
galaxies,0
,0
,0
The,0
presence,0
of,1
a,1
black,0
hole,0
can,0
be,0
inferred,1
through,0
its,1
interaction,1
with,0
other,1
matter,0
and,1
with,0
electromagnetic,1
radiation,0
such,0
as,1
visible,0
light,0
Any,1
matter,0
that,0
falls,0
toward,0
a,1
black,0
hole,0
can,0
form,0
an,1
external,1
accretion,1
disk,0
heated,0
by,0
friction,0
forming,0
quasars,0
some,0
of,1
the,0
brightest,0
objects,1
in,1
the,0
universe,1
Stars,0
passing,0
too,0
close,0
to,0
a,1
supermassive,0
black,0
hole,0
can,0
be,0
shredded,0
into,1
streamers,0
that,0
shine,0
very,0
brightly,0
before,0
being,0
swallowed,0
11,0
If,1
other,1
stars,0
are,1
orbiting,1
a,1
black,0
hole,0
their,0
orbits,1
can,0
be,0
used,1
to,0
determine,0
the,0
black,0
hole,0
s,0
mass,0
and,1
location,0
Such,0
observations,1
can,0
be,0
used,1
to,0
exclude,1
possible,0
alternatives,1
such,0
as,1
neutron,0
stars,0
In,1
this,0
way,0
astronomers,1
have,0
identified,1
numerous,0
stellar,0
black,0
hole,0
candidates,0
in,1
binary,0
systems,0
and,1
established,1
that,0
the,0
radio,0
source,0
known,0
as,1
Sagittarius,0
A,1
at,1
the,0
core,0
of,1
the,0
Milky,0
Way,0
galaxy,0
contains,0
a,1
supermassive,0
black,0
hole,0
of,1
about,1
4,0
3,0
million,0
solar,0
masses,0
,0
,0
History,0
The,0
idea,1
of,1
